epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.7781,1.17977,1.52043,1.00601,0.77823,0.82234,0.79191,0.55516,1.05384,0.81871,0.96035,0.000369587,0.000369587,0.000369587
2,149.461,1.17466,0.91447,1.00283,0.75901,0.90379,0.8474,0.58926,1.05418,0.80908,0.97104,0.000739739,0.000739739,0.000739739
3,217.659,1.15616,0.82178,1.0006,0.87943,0.87822,0.90709,0.63496,1.01667,0.66678,0.9397,0.00110917,0.00110917,0.00110917
4,284.182,1.12913,0.74447,0.99258,0.82257,0.81817,0.8565,0.61221,0.99996,0.78351,0.95299,0.00110856,0.00110856,0.00110856
5,351.839,1.10087,0.7248,0.98323,0.74177,0.88261,0.81751,0.59411,1.02813,0.77781,0.96391,0.00110666,0.00110666,0.00110666
6,417.987,1.11619,0.72252,0.9888,0.87295,0.9295,0.91528,0.67494,0.99651,0.63295,0.95999,0.00110423,0.00110423,0.00110423
7,482.348,1.11663,0.6983,0.99312,0.89366,0.83856,0.8985,0.66451,0.94521,0.56913,0.93943,0.00110126,0.00110126,0.00110126
8,547.633,1.08504,0.66863,0.97708,0.84423,0.89634,0.90643,0.67813,0.91001,0.60052,0.916,0.00109776,0.00109776,0.00109776
9,614.107,1.0823,0.6459,0.97896,0.848,0.94842,0.91263,0.66306,0.99889,0.54985,0.96071,0.00109372,0.00109372,0.00109372
10,680.17,1.08057,0.64717,0.98109,0.8271,0.89573,0.93319,0.67195,0.98245,0.60338,0.9505,0.00108916,0.00108916,0.00108916
11,746.37,1.06292,0.63252,0.97422,0.90573,0.88707,0.92154,0.68665,0.93651,0.56256,0.95365,0.00108408,0.00108408,0.00108408
12,812.914,1.06832,0.61877,0.97505,0.90589,0.88336,0.92849,0.68018,0.93161,0.53937,0.95834,0.00107849,0.00107849,0.00107849
13,880.414,1.04691,0.60572,0.96867,0.86656,0.90631,0.90701,0.67685,0.95077,0.56991,0.94591,0.00107238,0.00107238,0.00107238
14,946.995,1.04407,0.59143,0.97058,0.91226,0.8752,0.922,0.69084,1.01649,0.53187,0.95015,0.00106577,0.00106577,0.00106577
15,1015.44,1.04444,0.5953,0.96777,0.91804,0.92403,0.94288,0.68587,0.98119,0.51383,0.94929,0.00105866,0.00105866,0.00105866
16,1084.2,1.03945,0.58855,0.95895,0.84565,0.94034,0.91578,0.67622,0.99554,0.52595,0.97459,0.00105106,0.00105106,0.00105106
17,1151.78,1.03644,0.57585,0.96576,0.89258,0.92527,0.94755,0.69262,0.97777,0.51731,0.94098,0.00104298,0.00104298,0.00104298
18,1219.15,1.04108,0.56343,0.9638,0.90431,0.90954,0.93558,0.68751,0.99947,0.51845,0.93438,0.00103442,0.00103442,0.00103442
19,1285.52,1.02047,0.55427,0.95722,0.90221,0.92961,0.94202,0.68638,0.93246,0.53204,0.95645,0.00102539,0.00102539,0.00102539
20,1352.17,1.02146,0.55662,0.96118,0.92229,0.92008,0.9365,0.6974,0.98495,0.4957,0.97351,0.0010159,0.0010159,0.0010159
21,1416.77,1.0146,0.55146,0.959,0.87868,0.94072,0.93386,0.71315,0.91495,0.50566,0.95122,0.00100597,0.00100597,0.00100597
22,1482.33,1.00166,0.53605,0.95422,0.87447,0.86719,0.90809,0.69355,0.92929,0.50598,0.96112,0.000995597,0.000995597,0.000995597
23,1548.7,1.00967,0.5401,0.95636,0.8252,0.90081,0.88799,0.6774,0.94974,0.52579,0.94809,0.000984795,0.000984795,0.000984795
24,1615.05,1.00368,0.53187,0.94913,0.89969,0.92068,0.93376,0.6876,0.98525,0.5031,0.95516,0.000973575,0.000973575,0.000973575
25,1682.11,1.00476,0.52583,0.95207,0.87338,0.94236,0.93688,0.71238,0.94894,0.4736,0.95185,0.000961948,0.000961948,0.000961948
26,1748.06,0.99949,0.5287,0.95464,0.9201,0.95214,0.95554,0.71907,0.92943,0.48286,0.95848,0.000949925,0.000949925,0.000949925
27,1813.29,1.00145,0.52774,0.95453,0.86142,0.90066,0.91691,0.69207,0.97155,0.57108,0.95607,0.000937518,0.000937518,0.000937518
28,1879.82,0.99889,0.52073,0.9537,0.96566,0.92115,0.96704,0.71706,0.92815,0.45224,0.95307,0.00092474,0.00092474,0.00092474
29,1946.72,0.97808,0.51578,0.94068,0.93093,0.92253,0.93944,0.70757,0.92772,0.47577,0.95221,0.000911603,0.000911603,0.000911603
30,2013.33,0.97327,0.50848,0.94815,0.9231,0.94274,0.94818,0.71051,0.95515,0.46108,0.959,0.00089812,0.00089812,0.00089812
31,2079.86,0.97005,0.49937,0.943,0.93093,0.8943,0.9419,0.70962,0.96391,0.49102,0.96362,0.000884305,0.000884305,0.000884305
32,2146.26,0.97243,0.49844,0.94573,0.95061,0.91597,0.96244,0.73185,0.9198,0.46197,0.94946,0.00087017,0.00087017,0.00087017
33,2212.31,0.96897,0.48844,0.94205,0.91476,0.92866,0.95242,0.69981,0.9954,0.4854,0.97699,0.00085573,0.00085573,0.00085573
34,2277.76,0.96162,0.48448,0.94755,0.9348,0.90722,0.93545,0.70414,0.96105,0.47246,0.94643,0.000841,0.000841,0.000841
35,2342.74,0.96349,0.48356,0.94438,0.93176,0.91533,0.94229,0.7183,0.94561,0.48957,0.94155,0.000825993,0.000825993,0.000825993
36,2410.28,0.96691,0.48541,0.94297,0.95834,0.90171,0.95737,0.71007,0.9869,0.47042,0.95806,0.000810725,0.000810725,0.000810725
37,2478.25,0.95305,0.48322,0.93963,0.89823,0.9273,0.92777,0.68721,0.96042,0.47354,0.96021,0.00079521,0.00079521,0.00079521
38,2545.5,0.94008,0.46423,0.94169,0.89615,0.94413,0.93082,0.70863,0.93683,0.46205,0.96406,0.000779464,0.000779464,0.000779464
39,2610.99,0.94912,0.48177,0.94215,0.91229,0.94351,0.94474,0.71307,0.95472,0.44822,0.9585,0.000763503,0.000763503,0.000763503
40,2677.27,0.95023,0.47296,0.93981,0.8964,0.93863,0.9363,0.70138,0.98814,0.45838,0.98044,0.000747342,0.000747342,0.000747342
41,2742.79,0.94717,0.46947,0.93989,0.92408,0.91028,0.9441,0.69988,0.98142,0.45839,0.97342,0.000730997,0.000730997,0.000730997
42,2811.26,0.94858,0.46848,0.93789,0.89821,0.92489,0.93262,0.70804,0.95252,0.46151,0.972,0.000714485,0.000714485,0.000714485
43,2878.91,0.93376,0.45977,0.93347,0.93669,0.93329,0.96122,0.72058,0.99959,0.45724,0.95473,0.000697821,0.000697821,0.000697821
44,2946.8,0.94055,0.45673,0.93353,0.89256,0.96874,0.96343,0.70863,0.97254,0.45,0.95812,0.000681022,0.000681022,0.000681022
45,3014.06,0.91919,0.45044,0.93396,0.91375,0.94207,0.94406,0.71271,0.96756,0.44732,0.97031,0.000664104,0.000664104,0.000664104
46,3082.03,0.91951,0.44281,0.92874,0.94434,0.92229,0.95975,0.7287,0.93218,0.43624,0.96894,0.000647085,0.000647085,0.000647085
47,3150.2,0.92026,0.44318,0.93001,0.95142,0.90798,0.94704,0.71235,0.98666,0.48427,0.96103,0.000629981,0.000629981,0.000629981
48,3216.66,0.92068,0.44291,0.93047,0.89238,0.95238,0.96056,0.71792,0.94445,0.42896,0.96259,0.000612809,0.000612809,0.000612809
49,3283.22,0.92708,0.4427,0.92894,0.93358,0.91435,0.94558,0.72301,0.87585,0.46983,0.94107,0.000595586,0.000595586,0.000595586
50,3350.64,0.90974,0.43757,0.92808,0.9598,0.91032,0.9516,0.7129,0.98903,0.45362,0.97699,0.000578329,0.000578329,0.000578329
51,3418.13,0.90753,0.43075,0.92186,0.87499,0.97215,0.94363,0.72669,0.92819,0.44318,0.93563,0.000561055,0.000561055,0.000561055
52,3486.66,0.90756,0.43318,0.91862,0.91656,0.99015,0.97441,0.73401,0.92021,0.42154,0.96245,0.000543781,0.000543781,0.000543781
53,3554.6,0.89337,0.42021,0.92142,0.88285,0.94226,0.93315,0.68901,1.0195,0.45905,0.97437,0.000526524,0.000526524,0.000526524
54,3622.29,0.90217,0.42509,0.92067,0.9183,0.93043,0.94919,0.70874,0.96345,0.44671,0.95809,0.000509301,0.000509301,0.000509301
55,3690.48,0.89774,0.42752,0.91749,0.96412,0.8988,0.95601,0.71846,0.95277,0.43529,0.97463,0.000492129,0.000492129,0.000492129
56,3758.32,0.88863,0.42024,0.91802,0.8985,0.98748,0.97406,0.72521,0.95341,0.42584,0.96004,0.000475025,0.000475025,0.000475025
57,3826.18,0.87786,0.41298,0.91699,0.91075,0.94084,0.9386,0.71366,0.92466,0.43244,0.96424,0.000458006,0.000458006,0.000458006
58,3892.39,0.8872,0.41835,0.91899,0.85766,0.97218,0.93591,0.70999,0.92336,0.43152,0.95768,0.000441088,0.000441088,0.000441088
59,3958.92,0.87655,0.41236,0.91854,0.89272,0.94014,0.9189,0.69751,0.95474,0.45822,0.97268,0.000424289,0.000424289,0.000424289
60,4025.11,0.88337,0.41026,0.92007,0.88077,0.94675,0.95656,0.7244,0.9331,0.40699,0.96051,0.000407625,0.000407625,0.000407625
61,4092.96,0.87975,0.40674,0.91654,0.89191,0.95945,0.95372,0.72571,0.90424,0.41635,0.94662,0.000391113,0.000391113,0.000391113
62,4161.25,0.87492,0.4044,0.91277,0.92329,0.95659,0.95137,0.73002,0.89487,0.41219,0.93963,0.000374768,0.000374768,0.000374768
63,4228.18,0.8647,0.39676,0.90981,0.93048,0.93549,0.94976,0.73167,0.89215,0.41873,0.95452,0.000358607,0.000358607,0.000358607
64,4295.91,0.86375,0.39859,0.91169,0.91667,0.94722,0.96689,0.73267,0.93819,0.40758,0.96044,0.000342646,0.000342646,0.000342646
65,4362.29,0.86826,0.39472,0.90985,0.95833,0.90446,0.95351,0.71791,0.93841,0.42656,0.96055,0.0003269,0.0003269,0.0003269
66,4428.65,0.85811,0.39196,0.91325,0.95432,0.91443,0.95808,0.73512,0.89912,0.40615,0.95577,0.000311385,0.000311385,0.000311385
67,4494.02,0.8606,0.3957,0.91045,0.93342,0.91707,0.95785,0.73542,0.91989,0.42325,0.95818,0.000296117,0.000296117,0.000296117
68,4561.42,0.85252,0.3902,0.90481,0.96826,0.91721,0.96221,0.73261,0.91875,0.3968,0.95869,0.00028111,0.00028111,0.00028111
69,4628.53,0.84566,0.39024,0.90601,0.92222,0.92226,0.94892,0.72948,0.92181,0.41165,0.95075,0.00026638,0.00026638,0.00026638
70,4695.73,0.8521,0.38642,0.90674,0.98037,0.91415,0.9707,0.73565,0.92681,0.39842,0.95668,0.00025194,0.00025194,0.00025194
71,4763.29,0.84524,0.37994,0.9035,0.9309,0.93262,0.96038,0.74293,0.89492,0.3986,0.94104,0.000237805,0.000237805,0.000237805
72,4829.24,0.83937,0.37983,0.90137,0.94121,0.94531,0.9679,0.73989,0.91832,0.39503,0.95355,0.00022399,0.00022399,0.00022399
73,4894.84,0.84484,0.37911,0.90374,0.88051,0.95619,0.94714,0.72535,0.91866,0.41392,0.95918,0.000210507,0.000210507,0.000210507
74,4960.57,0.84151,0.37629,0.90134,0.96454,0.93069,0.96837,0.73927,0.89815,0.39185,0.95181,0.00019737,0.00019737,0.00019737
75,5027.26,0.82953,0.37036,0.90378,0.95868,0.92078,0.9696,0.73986,0.91403,0.39646,0.95681,0.000184592,0.000184592,0.000184592
76,5093.75,0.82785,0.3687,0.90217,0.93937,0.93416,0.96492,0.74501,0.9062,0.38686,0.95704,0.000172185,0.000172185,0.000172185
77,5159.74,0.82324,0.36952,0.8985,0.94072,0.93263,0.96801,0.73888,0.92404,0.38989,0.96186,0.000160162,0.000160162,0.000160162
78,5225.64,0.83,0.37206,0.90265,0.93291,0.93425,0.96439,0.74251,0.91445,0.38955,0.95279,0.000148535,0.000148535,0.000148535
79,5290.05,0.819,0.36937,0.89611,0.94717,0.93262,0.95928,0.73497,0.90266,0.38289,0.95058,0.000137315,0.000137315,0.000137315
80,5356.88,0.82203,0.36835,0.89956,0.92857,0.93262,0.95693,0.73579,0.91959,0.39088,0.96043,0.000126513,0.000126513,0.000126513
81,5423.37,0.81415,0.3617,0.89785,0.92445,0.93425,0.95773,0.73851,0.90371,0.38588,0.95998,0.00011614,0.00011614,0.00011614
82,5491.58,0.80815,0.36039,0.89897,0.90608,0.95762,0.95432,0.73336,0.91468,0.39468,0.96372,0.000106206,0.000106206,0.000106206
83,5558.68,0.81178,0.36081,0.89948,0.91437,0.94197,0.95656,0.73244,0.92662,0.39476,0.96745,9.67211e-05,9.67211e-05,9.67211e-05
84,5624.29,0.8111,0.3615,0.89532,0.9384,0.91401,0.95024,0.7251,0.91624,0.39525,0.96146,8.76942e-05,8.76942e-05,8.76942e-05
85,5691.15,0.80777,0.35833,0.89689,0.90599,0.94579,0.95536,0.73317,0.91227,0.39248,0.96038,7.91345e-05,7.91345e-05,7.91345e-05
86,5755.54,0.80152,0.35609,0.89205,0.91784,0.91538,0.95004,0.73129,0.91187,0.39527,0.9599,7.10504e-05,7.10504e-05,7.10504e-05
87,5821.38,0.8057,0.35728,0.89761,0.89185,0.94067,0.95393,0.72905,0.91764,0.39681,0.95998,6.34499e-05,6.34499e-05,6.34499e-05
88,5886.63,0.80038,0.35519,0.88935,0.92305,0.93045,0.95219,0.72783,0.91234,0.39158,0.96029,5.63404e-05,5.63404e-05,5.63404e-05
89,5952.64,0.80161,0.35436,0.89349,0.90671,0.9507,0.95951,0.73113,0.91155,0.38363,0.96242,4.97291e-05,4.97291e-05,4.97291e-05
90,6020.49,0.79104,0.34919,0.89492,0.94922,0.9169,0.96206,0.73787,0.90733,0.38316,0.9581,4.36223e-05,4.36223e-05,4.36223e-05
91,6088.3,0.76431,0.32493,0.87992,0.9059,0.9288,0.95409,0.72965,0.91108,0.38658,0.96418,3.80262e-05,3.80262e-05,3.80262e-05
92,6154.07,0.76202,0.32339,0.87853,0.90254,0.94512,0.95346,0.735,0.91975,0.3866,0.96689,3.29463e-05,3.29463e-05,3.29463e-05
93,6220.31,0.75651,0.3205,0.87609,0.92141,0.93246,0.95693,0.73311,0.93118,0.39086,0.96681,2.83875e-05,2.83875e-05,2.83875e-05
94,6288.38,0.7557,0.31759,0.8758,0.9171,0.94368,0.95683,0.73526,0.91304,0.38239,0.96155,2.43545e-05,2.43545e-05,2.43545e-05
95,6355.63,0.75233,0.31597,0.87523,0.91615,0.94502,0.95598,0.73203,0.92067,0.38327,0.96512,2.0851e-05,2.0851e-05,2.0851e-05
96,6423.67,0.74911,0.31695,0.87482,0.91554,0.94194,0.95319,0.73181,0.91826,0.38264,0.96388,1.78807e-05,1.78807e-05,1.78807e-05
97,6490.44,0.75472,0.31835,0.87553,0.91325,0.93951,0.95388,0.7342,0.92104,0.38325,0.96361,1.54465e-05,1.54465e-05,1.54465e-05
98,6558.21,0.74892,0.31767,0.8757,0.91611,0.94154,0.95754,0.73585,0.91968,0.38738,0.96275,1.35507e-05,1.35507e-05,1.35507e-05
99,6625.53,0.74773,0.31645,0.87472,0.89934,0.9435,0.95139,0.73487,0.91652,0.38677,0.96357,1.21952e-05,1.21952e-05,1.21952e-05
100,6693.68,0.75439,0.31641,0.87672,0.8996,0.9435,0.95264,0.73283,0.9214,0.38718,0.96403,1.13814e-05,1.13814e-05,1.13814e-05
