epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5884,2.44091,7.52685,2.00065,0.51463,0.63791,0.63081,0.45912,2.11182,5.56294,1.93829,0.000369587,0.000369587,0.000369587
2,69.6835,2.43309,4.7686,2.0095,0.68416,0.70035,0.743,0.51472,2.17685,2.95523,1.93034,0.000739739,0.000739739,0.000739739
3,102.481,2.38983,3.21914,1.99305,0.70076,0.71926,0.74903,0.55139,2.02097,1.84111,1.88832,0.00110917,0.00110917,0.00110917
4,135.254,2.36406,2.48156,1.98046,0.76504,0.69225,0.74573,0.53622,2.19064,1.66699,1.92402,0.00110856,0.00110856,0.00110856
5,167.66,2.30116,2.042,1.96504,0.71901,0.72597,0.73338,0.54188,2.05929,1.73857,1.88064,0.00110666,0.00110666,0.00110666
6,200.174,2.32625,1.89731,1.97372,0.76221,0.67651,0.76451,0.56402,2.03397,1.54488,1.8952,0.00110423,0.00110423,0.00110423
7,232.926,2.31095,1.75036,1.96906,0.82072,0.74388,0.82054,0.59613,2.01389,1.33893,1.89513,0.00110126,0.00110126,0.00110126
8,265.679,2.27622,1.68415,1.95281,0.81,0.72151,0.81959,0.60355,2.01297,1.21797,1.89102,0.00109776,0.00109776,0.00109776
9,298.43,2.26716,1.58561,1.94961,0.80319,0.75765,0.82359,0.61298,2.03783,1.21967,1.88581,0.00109372,0.00109372,0.00109372
10,331.213,2.26781,1.49476,1.95626,0.79002,0.85939,0.87312,0.64024,2.01245,1.15866,1.89337,0.00108916,0.00108916,0.00108916
11,363.992,2.24061,1.46682,1.936,0.76452,0.82657,0.83381,0.60094,2.01168,1.16458,1.91063,0.00108408,0.00108408,0.00108408
12,396.683,2.22289,1.42398,1.94038,0.75537,0.83382,0.84552,0.64228,1.94948,1.22356,1.90904,0.00107849,0.00107849,0.00107849
13,429.605,2.2143,1.37389,1.93526,0.79028,0.81674,0.84515,0.63767,1.90017,1.46495,1.84248,0.00107238,0.00107238,0.00107238
14,462.456,2.18691,1.32522,1.93253,0.76888,0.85758,0.84292,0.60752,2.16314,1.12066,1.92279,0.00106577,0.00106577,0.00106577
15,495.318,2.22858,1.32203,1.94216,0.8409,0.8651,0.89351,0.65905,1.97246,1.08791,1.87647,0.00105866,0.00105866,0.00105866
16,527.648,2.17393,1.25675,1.90679,0.77463,0.79414,0.85277,0.63162,2.02425,1.10633,1.88829,0.00105106,0.00105106,0.00105106
17,560.342,2.16979,1.25122,1.91722,0.76949,0.80693,0.84921,0.62133,1.93292,1.09887,1.87426,0.00104298,0.00104298,0.00104298
18,593.03,2.16438,1.24142,1.91384,0.74355,0.83947,0.85468,0.63357,2.05492,1.05774,1.89954,0.00103442,0.00103442,0.00103442
19,625.508,2.14209,1.20677,1.91288,0.88038,0.82866,0.891,0.64879,2.04584,0.98906,1.92403,0.00102539,0.00102539,0.00102539
20,658.176,2.12158,1.20032,1.90368,0.85643,0.8426,0.88332,0.65094,2.03296,1.02498,1.8876,0.0010159,0.0010159,0.0010159
21,691.089,2.13328,1.17158,1.90545,0.81378,0.8358,0.89388,0.65504,2.00626,1.15741,1.90172,0.00100597,0.00100597,0.00100597
22,723.506,2.09087,1.13248,1.89098,0.83517,0.9043,0.89292,0.66954,2.03385,0.90336,1.90907,0.000995597,0.000995597,0.000995597
23,756.174,2.13569,1.14303,1.9069,0.86725,0.90592,0.92795,0.67694,2.02386,0.98099,1.87878,0.000984795,0.000984795,0.000984795
24,788.997,2.10056,1.12316,1.89187,0.84092,0.89554,0.89086,0.65934,2.05845,1.03063,1.8867,0.000973575,0.000973575,0.000973575
25,821.804,2.08914,1.12883,1.89659,0.86005,0.84562,0.9024,0.67216,1.9586,0.92315,1.87896,0.000961948,0.000961948,0.000961948
