epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5975,1.18328,1.3899,0.9971,0.72545,0.8276,0.7864,0.55868,1.02704,0.86509,0.92144,0.000369587,0.000369587,0.000369587
2,83.1933,1.17259,0.89277,1.01289,0.8279,0.83151,0.86391,0.60111,1.06831,0.77645,0.96591,0.000739739,0.000739739,0.000739739
3,123.613,1.13977,0.82971,1.01063,0.84264,0.84105,0.89095,0.63372,1.00158,0.72557,0.98327,0.00110917,0.00110917,0.00110917
4,164.012,1.12432,0.77379,0.99979,0.77254,0.90702,0.88812,0.65773,0.96947,0.68189,0.94132,0.00110856,0.00110856,0.00110856
5,204.558,1.10624,0.71629,0.99401,0.77252,0.8196,0.82737,0.60697,1.00251,0.77359,0.95415,0.00110666,0.00110666,0.00110666
6,244.666,1.10311,0.69836,0.99926,0.86521,0.82295,0.86345,0.65388,0.94723,0.63315,0.9419,0.00110423,0.00110423,0.00110423
7,284.903,1.09561,0.67526,1.00077,0.86446,0.83566,0.86924,0.65386,0.91045,0.60603,0.93058,0.00110126,0.00110126,0.00110126
8,324.824,1.07488,0.66209,0.99035,0.81806,0.86392,0.8771,0.66801,0.88896,0.64878,0.92903,0.00109776,0.00109776,0.00109776
9,364.867,1.06463,0.62822,0.98945,0.84815,0.93735,0.92656,0.67431,1.00261,0.58964,0.96399,0.00109372,0.00109372,0.00109372
10,404.894,1.06967,0.62159,0.9907,0.90271,0.87849,0.9305,0.68197,0.95117,0.5565,0.95984,0.00108916,0.00108916,0.00108916
11,444.911,1.0484,0.60944,0.98367,0.89375,0.91676,0.93435,0.70189,0.94866,0.54275,0.96004,0.00108408,0.00108408,0.00108408
12,484.938,1.04798,0.59973,0.98068,0.84575,0.90814,0.91713,0.67427,0.9716,0.57607,0.97402,0.00107849,0.00107849,0.00107849
13,524.889,1.03202,0.58519,0.97694,0.8899,0.91096,0.93724,0.69725,0.9365,0.51609,0.9691,0.00107238,0.00107238,0.00107238
14,565.131,1.02826,0.58515,0.97627,0.88787,0.91948,0.92186,0.69531,0.96748,0.53281,0.95068,0.00106577,0.00106577,0.00106577
15,605.657,1.04067,0.57254,0.97727,0.90825,0.89331,0.92793,0.71118,0.91712,0.5175,0.94549,0.00105866,0.00105866,0.00105866
16,646.018,1.0237,0.5617,0.96496,0.90436,0.95165,0.9446,0.71356,0.94124,0.49968,0.95443,0.00105106,0.00105106,0.00105106
17,686.474,1.02108,0.55091,0.97267,0.90387,0.955,0.94563,0.70133,0.9983,0.49746,0.97753,0.00104298,0.00104298,0.00104298
18,726.966,1.0142,0.54486,0.97101,0.95563,0.92024,0.96445,0.70499,0.97219,0.4825,0.97412,0.00103442,0.00103442,0.00103442
19,767.212,1.00611,0.54642,0.97075,0.96031,0.92331,0.94609,0.69509,0.9546,0.50843,0.98866,0.00102539,0.00102539,0.00102539
20,807.369,0.99684,0.53115,0.96599,0.93876,0.8944,0.94252,0.7049,0.95727,0.49288,0.97581,0.0010159,0.0010159,0.0010159
21,847.768,1.00179,0.5298,0.96403,0.9068,0.89693,0.93317,0.70077,0.94569,0.51336,0.96584,0.00100597,0.00100597,0.00100597
22,888.135,0.9807,0.51139,0.95569,0.88143,0.96889,0.94227,0.69389,0.98395,0.51107,0.98309,0.000995597,0.000995597,0.000995597
23,928.431,0.9954,0.52595,0.96629,0.91568,0.90762,0.92579,0.69562,0.96761,0.5036,0.97675,0.000984795,0.000984795,0.000984795
24,968.936,0.98613,0.51428,0.96027,0.84728,0.93251,0.90985,0.6825,1.00795,0.54626,0.9651,0.000973575,0.000973575,0.000973575
25,1009.14,0.98376,0.51134,0.96084,0.91025,0.93119,0.95322,0.71268,0.92709,0.46685,0.96805,0.000961948,0.000961948,0.000961948
26,1049.06,0.98112,0.50799,0.96165,0.91153,0.94393,0.96277,0.7292,0.902,0.51143,0.95979,0.000949925,0.000949925,0.000949925
27,1089.37,0.97613,0.50295,0.96162,0.87551,0.95531,0.93219,0.69869,0.97328,0.49042,0.96787,0.000937518,0.000937518,0.000937518
28,1129.84,0.98706,0.50849,0.96102,0.95508,0.9126,0.96097,0.7026,0.98965,0.46618,0.98618,0.00092474,0.00092474,0.00092474
29,1170.26,0.95802,0.49561,0.94103,0.92026,0.88753,0.93112,0.70146,0.92841,0.47547,0.95077,0.000911603,0.000911603,0.000911603
30,1210.58,0.94955,0.48904,0.9514,0.86943,0.90782,0.91383,0.68622,0.95238,0.47799,0.97421,0.00089812,0.00089812,0.00089812
31,1251.06,0.94984,0.49052,0.95166,0.90705,0.96083,0.96074,0.72641,0.94572,0.49103,0.97713,0.000884305,0.000884305,0.000884305
32,1291.57,0.95304,0.4879,0.95175,0.90834,0.94064,0.96066,0.72619,0.95972,0.48639,0.97817,0.00087017,0.00087017,0.00087017
33,1332.06,0.94623,0.47493,0.94879,0.90134,0.93596,0.95741,0.71572,0.95414,0.46379,0.97244,0.00085573,0.00085573,0.00085573
34,1372.46,0.94002,0.47046,0.94546,0.9109,0.94226,0.95584,0.72256,0.95848,0.45063,0.97112,0.000841,0.000841,0.000841
35,1412.88,0.9416,0.47309,0.94975,0.91034,0.90266,0.9263,0.69815,0.98976,0.47534,0.97459,0.000825993,0.000825993,0.000825993
36,1453.33,0.94778,0.47407,0.94777,0.8858,0.89644,0.92867,0.70117,1.0142,0.54736,1.00264,0.000810725,0.000810725,0.000810725
37,1493.68,0.93342,0.46521,0.94586,0.91638,0.9327,0.93043,0.70219,0.93872,0.4694,0.99781,0.00079521,0.00079521,0.00079521
38,1534.08,0.91273,0.45131,0.94166,0.90152,0.93544,0.93334,0.69629,0.99688,0.474,0.99394,0.000779464,0.000779464,0.000779464
39,1574.36,0.92753,0.46517,0.94792,0.90324,0.94556,0.94896,0.71624,0.99281,0.47772,0.97993,0.000763503,0.000763503,0.000763503
40,1614.39,0.9291,0.46352,0.94419,0.90476,0.90889,0.94141,0.71764,0.92831,0.45275,0.96388,0.000747342,0.000747342,0.000747342
41,1654.77,0.92843,0.45925,0.94492,0.91788,0.91016,0.92998,0.70677,0.97067,0.46761,0.99115,0.000730997,0.000730997,0.000730997
42,1695.27,0.91695,0.44769,0.93634,0.89323,0.92437,0.94149,0.71737,0.93584,0.46171,0.98453,0.000714485,0.000714485,0.000714485
43,1735.62,0.91314,0.44546,0.93802,0.91808,0.94191,0.97093,0.72704,0.96561,0.45881,0.98088,0.000697821,0.000697821,0.000697821
44,1776.14,0.91249,0.44192,0.93885,0.9003,0.92111,0.94079,0.70818,0.95166,0.44819,0.98377,0.000681022,0.000681022,0.000681022
45,1816.12,0.89475,0.43493,0.93728,0.89522,0.96326,0.95978,0.73477,0.91253,0.43145,0.97223,0.000664104,0.000664104,0.000664104
46,1856.16,0.89605,0.43287,0.93386,0.96083,0.91912,0.95922,0.72173,0.9681,0.44445,0.98031,0.000647085,0.000647085,0.000647085
