epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2336,1.28165,1.93714,1.0335,0.68038,0.72843,0.71446,0.46282,1.09845,1.17427,1.00036,0.000369587,0.000369587,0.000369587
2,51.6656,1.20856,1.23695,1.04531,0.73368,0.83546,0.80403,0.55916,1.02843,0.9398,0.97411,0.000739875,0.000739875,0.000739875
3,77.3776,1.19743,1.10754,1.05515,0.69934,0.88763,0.80093,0.51029,1.15321,1.00576,1.04727,0.00110998,0.00110998,0.00110998
4,102.571,1.16363,0.96059,1.04158,0.69082,0.83052,0.77092,0.55467,1.0059,0.84633,0.99339,0.00111039,0.00111039,0.00111039
5,126.504,1.15759,0.89248,1.04173,0.75039,0.87117,0.80981,0.57159,1.00417,0.75227,1.00417,0.00110991,0.00110991,0.00110991
6,149.888,1.14188,0.83759,1.03746,0.72687,0.87484,0.84447,0.59367,0.94003,0.7376,0.96825,0.0011093,0.0011093,0.0011093
7,174.561,1.13345,0.80251,1.02793,0.6804,0.78747,0.76981,0.56569,0.9658,0.80739,0.97198,0.00110856,0.00110856,0.00110856
8,199.379,1.13393,0.77831,1.02964,0.79898,0.83811,0.86254,0.62903,0.97106,0.63928,0.99374,0.00110768,0.00110768,0.00110768
9,225.6,1.12167,0.75531,1.02427,0.76695,0.82908,0.83153,0.58744,0.97687,0.70987,0.98494,0.00110666,0.00110666,0.00110666
10,249.263,1.10555,0.7316,1.0249,0.7717,0.82451,0.84091,0.59312,0.94633,0.64636,0.9958,0.00110551,0.00110551,0.00110551
11,275.303,1.11182,0.72895,1.01806,0.67301,0.85789,0.78373,0.56414,0.97282,0.74547,0.98669,0.00110423,0.00110423,0.00110423
12,300.35,1.09642,0.69281,1.01424,0.7606,0.78272,0.77121,0.54853,0.96574,0.80851,0.99122,0.00110281,0.00110281,0.00110281
13,324.658,1.10114,0.70004,1.01521,0.86347,0.81377,0.8578,0.60328,0.97434,0.59932,0.98748,0.00110126,0.00110126,0.00110126
14,348.983,1.08358,0.70375,1.01329,0.81133,0.91382,0.88368,0.64748,0.92538,0.60405,0.97446,0.00109957,0.00109957,0.00109957
15,373.395,1.07737,0.67463,1.01437,0.77636,0.86855,0.83966,0.58802,1.00799,0.64834,1.0173,0.00109776,0.00109776,0.00109776
16,400.855,1.07851,0.66735,1.00449,0.74498,0.87171,0.81838,0.59619,0.90393,0.8035,0.9779,0.0010958,0.0010958,0.0010958
17,426.085,1.07239,0.67463,1.00514,0.7651,0.8313,0.84939,0.6155,0.93044,0.63545,0.98087,0.00109372,0.00109372,0.00109372
18,451.707,1.07509,0.65721,1.01117,0.79502,0.80132,0.79445,0.57592,0.95259,0.71751,1.00294,0.00109151,0.00109151,0.00109151
19,476.27,1.07535,0.64733,1.00764,0.83432,0.80223,0.81104,0.57273,0.94586,0.73163,0.98592,0.00108916,0.00108916,0.00108916
20,500.908,1.07296,0.63864,1.00182,0.78725,0.90226,0.87647,0.62289,0.96722,0.57646,0.99924,0.00108669,0.00108669,0.00108669
21,524.749,1.05819,0.6278,0.99701,0.80416,0.88355,0.85791,0.63087,0.96783,0.54221,1.00651,0.00108408,0.00108408,0.00108408
22,548.486,1.06241,0.62123,1.00364,0.81589,0.84697,0.88256,0.62332,0.94533,0.5425,0.99102,0.00108135,0.00108135,0.00108135
23,573.775,1.05339,0.62485,1.00379,0.7754,0.85759,0.87375,0.6172,0.94548,0.64489,0.99792,0.00107849,0.00107849,0.00107849
24,598.121,1.05429,0.61797,0.99931,0.7602,0.86855,0.86013,0.60002,0.99536,0.6122,1.01148,0.0010755,0.0010755,0.0010755
25,621.677,1.05054,0.62592,1.00194,0.81488,0.82346,0.82744,0.59564,0.91286,0.73096,0.97493,0.00107238,0.00107238,0.00107238
26,646.889,1.05313,0.6038,0.99964,0.83862,0.8715,0.88859,0.65274,0.93282,0.55558,0.99991,0.00106914,0.00106914,0.00106914
27,671.306,1.04052,0.59562,0.99264,0.7908,0.82132,0.85759,0.62089,0.93904,0.63102,0.99795,0.00106577,0.00106577,0.00106577
28,695.688,1.03205,0.60536,0.98987,0.80058,0.86871,0.86827,0.61278,0.97712,0.6071,0.99555,0.00106228,0.00106228,0.00106228
29,720.799,1.04379,0.59334,0.99141,0.83226,0.84833,0.86747,0.62792,0.99018,0.60994,1.00454,0.00105866,0.00105866,0.00105866
30,745.204,1.0304,0.58133,0.98649,0.75633,0.90293,0.86003,0.61978,0.97726,0.64783,1.01295,0.00105492,0.00105492,0.00105492
31,769.771,1.02994,0.58053,0.99022,0.76016,0.83763,0.80519,0.58752,0.94058,0.82282,0.98194,0.00105106,0.00105106,0.00105106
32,795.348,1.02308,0.58282,0.98883,0.81162,0.84329,0.87778,0.63382,0.95416,0.54302,0.99302,0.00104708,0.00104708,0.00104708
33,819.741,1.0356,0.58331,0.98769,0.78562,0.83633,0.84852,0.61169,0.93249,0.64178,0.97595,0.00104298,0.00104298,0.00104298
34,844.937,1.0215,0.57931,0.98971,0.83264,0.82291,0.83696,0.61328,0.93493,0.79765,0.98141,0.00103875,0.00103875,0.00103875
35,870.691,1.02594,0.58368,0.98902,0.84989,0.86088,0.89321,0.661,0.92055,0.61438,0.97319,0.00103442,0.00103442,0.00103442
36,895.761,1.01884,0.57665,0.98567,0.85221,0.84192,0.87117,0.64849,0.90206,0.6211,0.97057,0.00102996,0.00102996,0.00102996
37,920.67,1.02072,0.57332,0.989,0.7337,0.89768,0.83041,0.62001,0.92446,0.60349,0.98768,0.00102539,0.00102539,0.00102539
38,945.775,0.99543,0.5562,0.97933,0.83064,0.87602,0.89429,0.63676,0.94427,0.59245,1.01103,0.0010207,0.0010207,0.0010207
39,970.454,1.01482,0.56655,0.98828,0.75912,0.92491,0.88822,0.65162,0.93927,0.61208,0.99244,0.0010159,0.0010159,0.0010159
40,996.161,1.01864,0.56707,0.98676,0.84334,0.87601,0.88372,0.65046,0.91356,0.52707,0.97453,0.00101099,0.00101099,0.00101099
41,1022.5,1.00181,0.55669,0.98202,0.7695,0.88066,0.86865,0.64192,0.91186,0.59321,0.98033,0.00100597,0.00100597,0.00100597
42,1046.99,0.99413,0.54948,0.9782,0.78253,0.85803,0.84491,0.63709,0.88971,0.59324,0.97662,0.00100084,0.00100084,0.00100084
43,1070.52,0.99898,0.54859,0.97993,0.85233,0.9117,0.91456,0.66307,0.92102,0.49901,0.98031,0.000995597,0.000995597,0.000995597
44,1094.41,0.99658,0.54518,0.98561,0.78641,0.90593,0.89498,0.65198,0.93383,0.56068,0.98657,0.000990249,0.000990249,0.000990249
45,1118.83,1.00108,0.54166,0.98727,0.8242,0.91303,0.90263,0.65883,0.94549,0.57977,1.00792,0.000984795,0.000984795,0.000984795
46,1144.45,0.99369,0.55065,0.97439,0.86598,0.83434,0.88444,0.65226,0.9358,0.60664,0.99654,0.000979236,0.000979236,0.000979236
47,1169.14,0.99681,0.54709,0.98475,0.76211,0.84432,0.84211,0.63859,0.90329,0.56362,0.98884,0.000973575,0.000973575,0.000973575
48,1194.04,0.99304,0.54691,0.98088,0.79817,0.84983,0.83915,0.61899,0.91234,0.68419,0.98135,0.000967811,0.000967811,0.000967811
49,1219.5,0.99605,0.53467,0.97437,0.84868,0.84224,0.88209,0.65413,0.90668,0.60144,0.97831,0.000961948,0.000961948,0.000961948
50,1244.32,0.98899,0.53753,0.97931,0.85261,0.86891,0.87642,0.63264,0.96378,0.4979,1.00003,0.000955985,0.000955985,0.000955985
51,1268.58,0.98231,0.53107,0.97672,0.84384,0.86333,0.90689,0.67192,0.9867,0.48379,1.02355,0.000949925,0.000949925,0.000949925
52,1294.64,0.97919,0.52886,0.96539,0.85794,0.82461,0.86684,0.62063,0.94654,0.6493,0.99175,0.000943769,0.000943769,0.000943769
53,1320.69,0.98317,0.54365,0.97071,0.80606,0.85686,0.83293,0.60407,0.93291,0.67746,0.99378,0.000937518,0.000937518,0.000937518
54,1345.68,0.98717,0.5301,0.97586,0.73107,0.82243,0.7974,0.58918,0.92427,0.74241,0.98766,0.000931175,0.000931175,0.000931175
55,1369.87,0.98953,0.52955,0.97532,0.8993,0.79546,0.87382,0.64101,0.93301,0.50583,1.0003,0.00092474,0.00092474,0.00092474
