epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9394,1.21194,2.28188,1.0343,0.64592,0.87011,0.7668,0.53778,1.08894,1.15049,1.05653,0.000369587,0.000369587,0.000369587
2,74.6405,1.18156,1.45746,1.06619,0.75411,0.84542,0.83829,0.58751,1.07632,0.91663,1.06685,0.000739739,0.000739739,0.000739739
3,103.655,1.15415,1.15189,1.07421,0.82908,0.83555,0.88696,0.61705,1.05005,0.83793,1.05793,0.00110917,0.00110917,0.00110917
4,132.855,1.12583,0.99565,1.058,0.83906,0.84306,0.8647,0.62227,1.03399,0.85876,1.02064,0.00110856,0.00110856,0.00110856
5,162.14,1.10948,0.87869,1.06253,0.80528,0.88024,0.82508,0.60312,0.99857,0.82396,1.01953,0.00110666,0.00110666,0.00110666
6,191.669,1.11539,0.81755,1.06931,0.84072,0.90338,0.87187,0.63713,1.01883,0.72201,1.02566,0.00110423,0.00110423,0.00110423
7,220.88,1.10661,0.77439,1.06608,0.84256,0.86953,0.88,0.65135,0.95461,0.64271,1.01311,0.00110126,0.00110126,0.00110126
8,249.707,1.07909,0.74208,1.05166,0.86343,0.90445,0.92832,0.68712,0.93405,0.64949,1.00973,0.00109776,0.00109776,0.00109776
9,278.964,1.06983,0.70857,1.05449,0.88977,0.84862,0.91453,0.65026,1.0269,0.63904,1.04403,0.00109372,0.00109372,0.00109372
10,308.341,1.07658,0.68609,1.05879,0.84755,0.9193,0.9185,0.67915,0.95502,0.63799,1.01405,0.00108916,0.00108916,0.00108916
11,337.925,1.06201,0.66883,1.04788,0.91428,0.87646,0.93062,0.67718,0.96619,0.59874,1.05337,0.00108408,0.00108408,0.00108408
12,367.621,1.06157,0.66266,1.05075,0.82372,0.91337,0.88606,0.65316,0.9385,0.68914,1.02098,0.00107849,0.00107849,0.00107849
13,396.566,1.05497,0.64824,1.04876,0.87938,0.88251,0.92155,0.68841,0.96283,0.5737,1.04978,0.00107238,0.00107238,0.00107238
14,425.869,1.04322,0.64432,1.04787,0.88418,0.83597,0.8904,0.6655,0.95919,0.66517,1.01945,0.00106577,0.00106577,0.00106577
15,455.153,1.04744,0.62304,1.04677,0.82669,0.90676,0.88168,0.66958,0.97521,0.63646,1.0434,0.00105866,0.00105866,0.00105866
16,484.16,1.0299,0.61478,1.02847,0.86893,0.88006,0.90525,0.66577,0.99497,0.61633,1.03834,0.00105106,0.00105106,0.00105106
17,513.375,1.03505,0.60633,1.03213,0.89904,0.87073,0.92271,0.68431,0.94219,0.57817,1.04084,0.00104298,0.00104298,0.00104298
18,542.566,1.03196,0.59419,1.03628,0.83247,0.90193,0.90113,0.6821,0.94609,0.60631,1.01384,0.00103442,0.00103442,0.00103442
19,571.612,1.01583,0.58214,1.03389,0.89912,0.89512,0.9324,0.70571,0.93908,0.53002,1.02696,0.00102539,0.00102539,0.00102539
20,600.797,1.01419,0.5729,1.02601,0.83545,0.92267,0.90681,0.68244,0.96961,0.58688,1.04155,0.0010159,0.0010159,0.0010159
21,629.778,1.01395,0.57407,1.02752,0.83807,0.9098,0.8918,0.67462,0.9422,0.66955,1.01487,0.00100597,0.00100597,0.00100597
22,658.774,0.99753,0.55381,1.0221,0.87416,0.89064,0.91501,0.67864,0.97099,0.61856,1.05549,0.000995597,0.000995597,0.000995597
23,688.069,1.01804,0.55906,1.02999,0.8937,0.92089,0.94466,0.70798,0.96739,0.52688,1.04736,0.000984795,0.000984795,0.000984795
24,717.273,0.99728,0.55043,1.01902,0.87807,0.87466,0.90077,0.67854,0.9928,0.54406,1.05454,0.000973575,0.000973575,0.000973575
25,746.003,0.99944,0.55048,1.02414,0.8389,0.91372,0.91327,0.69338,0.95253,0.63449,1.03237,0.000961948,0.000961948,0.000961948
26,774.681,0.99616,0.54813,1.02211,0.83839,0.90543,0.92259,0.68631,1.02375,0.63685,1.04631,0.000949925,0.000949925,0.000949925
27,803.435,0.98624,0.53541,1.02028,0.89629,0.89866,0.94276,0.69953,0.98768,0.59248,1.04715,0.000937518,0.000937518,0.000937518
28,832.859,1.00998,0.54447,1.02898,0.86759,0.89022,0.9192,0.70057,0.94296,0.64593,1.04902,0.00092474,0.00092474,0.00092474
29,862.211,0.98081,0.52799,1.00959,0.847,0.87515,0.8849,0.6626,0.92827,0.69843,1.02869,0.000911603,0.000911603,0.000911603
30,891.303,0.97493,0.52975,1.0132,0.82729,0.91462,0.90912,0.68263,0.97596,0.60388,1.05418,0.00089812,0.00089812,0.00089812
31,920.192,0.97171,0.51194,1.0126,0.83276,0.90863,0.91534,0.68107,0.96809,0.58216,1.06745,0.000884305,0.000884305,0.000884305
32,949.081,0.97653,0.51905,1.01605,0.88162,0.89016,0.93071,0.69924,0.9525,0.61209,1.04567,0.00087017,0.00087017,0.00087017
33,978.237,0.97422,0.5104,1.01019,0.88465,0.92109,0.93321,0.69811,0.96827,0.54655,1.06631,0.00085573,0.00085573,0.00085573
34,1007.45,0.96352,0.50872,1.01149,0.88013,0.87385,0.91145,0.69249,0.94899,0.65112,1.0379,0.000841,0.000841,0.000841
35,1036.29,0.96625,0.50209,1.01497,0.8817,0.89654,0.90504,0.69768,0.92282,0.67292,1.02505,0.000825993,0.000825993,0.000825993
36,1065.43,0.97679,0.50532,1.01298,0.84322,0.929,0.93494,0.70623,0.94633,0.55482,1.0695,0.000810725,0.000810725,0.000810725
37,1094.6,0.95838,0.49922,1.01221,0.88533,0.89013,0.91586,0.68817,0.98544,0.51102,1.09146,0.00079521,0.00079521,0.00079521
38,1123.88,0.93868,0.48841,1.00264,0.86854,0.86527,0.90011,0.68064,0.98266,0.62499,1.07246,0.000779464,0.000779464,0.000779464
39,1153.2,0.95088,0.49014,1.00711,0.86047,0.88324,0.90337,0.69733,0.95596,0.60821,1.05487,0.000763503,0.000763503,0.000763503
40,1182.2,0.95642,0.4928,1.00893,0.87793,0.90398,0.92391,0.70823,0.94195,0.53308,1.05285,0.000747342,0.000747342,0.000747342
41,1211.46,0.95167,0.4859,1.0087,0.91982,0.91004,0.92854,0.69978,0.96044,0.57293,1.05726,0.000730997,0.000730997,0.000730997
42,1240.33,0.9497,0.48204,1.00504,0.90614,0.88733,0.91709,0.70327,0.93591,0.48671,1.05247,0.000714485,0.000714485,0.000714485
